equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
GER_PANZER_III_AUSF_F,Panzer III Ausf F,tanks,45,tanks,43,2,95
GER_PANZER_III_AUSF_G,Panzer III Ausf G,tanks,55,tanks,53,2,96
GER_PANZER_III_AUSF_H,Panzer III Ausf H,tanks,36,tanks,34,2,94
GER_PANZER_IV_AUSF_D,Panzer IV Ausf D,tanks,32,tanks,31,1,96
GER_PANZER_IV_AUSF_E,Panzer IV Ausf E,tanks,25,tanks,24,1,96
GER_PANZER_I_AUSF_B,Panzer I Ausf B,tanks,25,tanks,22,3,88
GER_PANZER_II_AUSF_A/B/C,Panzer II Ausf A/B/C,tanks,53,tanks,51,2,96
GER_PANZER_II_AUSF_F,Panzer II Ausf F,tanks,32,tanks,31,1,96
GER_PANZERBEFEHLSWAGEN_I,Panzerbefehlswagen I,tanks,7,tanks,7,0,100
GER_SDKFZ_221,SdKfz 221,armored_cars,28,armored_cars,26,2,92
GER_SDKFZ_222,SdKfz 222,armored_cars,52,armored_cars,49,3,94
GER_SDKFZ_231_(8_RAD),SdKfz 231 (8-Rad),armored_cars,38,armored_cars,36,2,94
GER_SDKFZ_232_(8_RAD),SdKfz 232 (8-Rad),armored_cars,22,armored_cars,21,1,95
GER_SDKFZ_263_(8_RAD),SdKfz 263 (8-Rad),armored_cars,8,armored_cars,8,0,100
GER_SDKFZ_250,SdKfz 250,halftracks,42,halftracks,40,2,95
GER_SDKFZ_251,SdKfz 251,halftracks,68,halftracks,65,3,95
GER_SDKFZ_10,SdKfz 10,halftracks,28,halftracks,27,1,96
GER_SDKFZ_11,SdKfz 11,halftracks,18,halftracks,17,1,94
GER_OPEL_BLITZ_3T,Opel Blitz 3t,trucks,1420,trucks,1420,0,100
GER_MERCEDES_BENZ_L3000,Mercedes-Benz L3000,trucks,685,trucks,685,0,100
GER_BÜSSING_NAG_4.5T,Büssing-NAG 4.5t,trucks,425,trucks,425,0,100
GER_FORD_G917T,Ford G917T,trucks,320,trucks,320,0,100
GER_BMW_R75_WITH_SIDECAR,BMW R75 with Sidecar,motorcycles,285,motorcycles,285,0,100
GER_ZÜNDAPP_KS750_WITH_SIDECAR,Zündapp KS750 with Sidecar,motorcycles,198,motorcycles,198,0,100
GER_BMW_R12,BMW R12,motorcycles,98,motorcycles,98,0,100
GER_DKW_NZ350,DKW NZ350,motorcycles,73,motorcycles,73,0,100
